"","ID","Date","Price","Location"
"66","557344","7/2/2008","185000","Quarter: SE/4 Section: 34 Township: 37 Range: 14"
"67","557427","7/8/2008","150000","Quarter: SE/4 Section: 16 Township: 36 Range: 16"
"68","557458","7/10/2008","158000","Quarter: SW/4 Section: 34 Township: 37 Range: 16 Subdiv..."
"69","557544","7/15/2008","225000","Quarter: NE/4 Section: 31 Township: 37 Range: 15"
"70","557563","7/15/2008","305000","Quarter: SE/4 Section: 17 Township: 36 Range: 15"
"71","557610","7/17/2008","45900","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"72","557611","7/17/2008","184900","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"73","557645","6/30/2008","200000","Quarter: SW/4 Section: 12 Township: 37 Range: 15"
"74","557684","7/15/2008","485000","Quarter: SW/4 Section: 31 Township: 37 Range: 16"
"75","557705","7/23/2008","70000","Quarter: NE Section: 26 Township: 36 Range: 16"
"76","557726","7/23/2008","143000","Quarter: NW/4 Section: 28 Township: 36 Range: 13 Subdiv..."
"77","557813","7/28/2008","169000","Quarter: NW/4 Section: 25 Township: 36 Range: 16 Subdiv..."
"78","557820","7/29/2008","275300","Section: 7 Township: 37 Range: 16"
"79","557879","7/30/2008","330000","Sixteenth: SE Quarter: NE/4 Section: 36 Township: 36 Ran..."
"80","557883","7/30/2008","171000","Quarter: NW/4 Section: 17 Township: 36 Range: 16"
"81","557886","7/31/2008","150000","Quarter: SE/4 Section: 30 Township: 35 Range: 16 Subdiv..."
"82","557936","7/31/2008","240000","Quarter: NE/4 Section: 21 Township: 38 Range: 17 Subdiv..."
"83","557958","7/31/2008","107500","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"84","557972","8/1/2008","232000","Section: 1 Township: 35 Range: 16 TR IN SE1/4NW1/4 5A ..."
"85","557986","7/31/2008","45000","Quarter: NW/4 Section: 13 Township: 36 Range: 17 Subdiv..."
"86","558016","8/5/2008","120000","Quarter: NW/4 Section: 30 Township: 35 Range: 16 Subdiv..."
"87","558040","8/6/2008","138500","Quarter: NW/4 Section: 30 Township: 36 Range: 15 Subdiv..."
"88","558077","8/7/2008","150000","Quarter: SE/4 Section: 36 Township: 38 Range: 17"
"89","558098","8/8/2008","112000","Quarter: NE/4 Section: 15 Township: 35 Range: 16 Subdiv..."
"90","558137","8/11/2008","20000","Sixteenth: NW Quarter: SW/4 Section: 10 Township: 35 Ran..."
"91","558168","8/12/2008","260000","Quarter: NE/4 Section: 16 Township: 37 Range: 15 Subdiv..."
"92","558236","8/5/2008","15000","Sixteenth: SE Quarter: NW Section: 4 Township: 35 Range:..."
"93","558384","8/22/2008","265000","Quarter: NE/4 Section: 10 Township: 35 Range: 16 Subdiv..."
"94","558396","7/22/2008","197500","Quarter: NE/4 Section: 34 Township: 36 Range: 16"
"95","558397","8/25/2008","197500","Quarter: NE/4 Section: 34 Township: 36 Range: 16"
"96","558431","8/27/2008","75000","Quarter: NW/4 Section: 26 Township: 36 Range: 13"
"97","558530","8/29/2008","184000","Quarter: NE/4 Section: 13 Township: 37 Range: 15 Subdiv..."
"98","558533","8/29/2008","155000","Section: 8 Township: 38 Range: 17"
"99","558570","9/3/2008","25000","Quarter: NW/4 Section: 15 Township: 36 Range: 16"
"100","558599","9/5/2008","34200","Quarter: NE/4 Section: 34 Township: 36 Range: 16"
"101","558612","9/5/2008","275000","Section: 6 Township: 36 Range: 15"
"102","558614","9/8/2008","300000","Section: 7 Township: 36 Range: 15"
"103","558678","9/10/2008","148000","Quarter: NE/4 Section: 26 Township: 36 Range: 16"
"104","558796","9/16/2008","265000","Quarter: NW/4 Section: 21 Township: 37 Range: 16"
"105","558886","9/19/2008","118000","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"106","559125","9/25/2008","186800","Quarter: SE/4 Section: 10 Township: 37 Range: 15 Subdiv..."
"107","559136","9/29/2008","215000","Quarter: NE/4 Section: 10 Township: 35 Range: 16 Subdiv..."
"108","559141","9/29/2008","152300","Quarter: SE/4 Section: 15 Township: 38 Range: 14 Subdiv..."
"109","559154","9/29/2008","260000","Quarter: NE/4 Section: 15 Township: 36 Range: 13"
