ID,Date,Price,Location
557264,6/27/2008,"$165,000.00 ",Quarter: NW/4 Section: 28 Township: 36 Range: 13 Subdiv...
557266,6/27/2008,"$288,000.00 ",Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv...
557305,6/30/2008,"$182,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
557344,7/2/2008,"$185,000.00 ",Quarter: SE/4 Section: 34 Township: 37 Range: 14
557427,7/8/2008,"$150,000.00 ",Quarter: SE/4 Section: 16 Township: 36 Range: 16
557458,7/10/2008,"$158,000.00 ",Quarter: SW/4 Section: 34 Township: 37 Range: 16 Subdiv...
557544,7/15/2008,"$225,000.00 ",Quarter: NE/4 Section: 31 Township: 37 Range: 15
557563,7/15/2008,"$305,000.00 ",Quarter: SE/4 Section: 17 Township: 36 Range: 15
557610,7/17/2008,"$45,900.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
557611,7/17/2008,"$184,900.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
557645,6/30/2008,"$200,000.00 ",Quarter: SW/4 Section: 12 Township: 37 Range: 15
557684,7/15/2008,"$485,000.00 ",Quarter: SW/4 Section: 31 Township: 37 Range: 16
557705,7/23/2008,"$70,000.00 ",Quarter: NE Section: 26 Township: 36 Range: 16
557726,7/23/2008,"$143,000.00 ",Quarter: NW/4 Section: 28 Township: 36 Range: 13 Subdiv...
557813,7/28/2008,"$169,000.00 ",Quarter: NW/4 Section: 25 Township: 36 Range: 16 Subdiv...
557820,7/29/2008,"$275,300.00 ",Section: 7 Township: 37 Range: 16
557879,7/30/2008,"$330,000.00 ",Sixteenth: SE Quarter: NE/4 Section: 36 Township: 36 Ran...
557883,7/30/2008,"$171,000.00 ",Quarter: NW/4 Section: 17 Township: 36 Range: 16
557886,7/31/2008,"$150,000.00 ",Quarter: SE/4 Section: 30 Township: 35 Range: 16 Subdiv...
557936,7/31/2008,"$240,000.00 ",Quarter: NE/4 Section: 21 Township: 38 Range: 17 Subdiv...
557958,7/31/2008,"$107,500.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
557972,8/1/2008,"$232,000.00 ",Section: 1 Township: 35 Range: 16 TR IN SE1/4NW1/4 5A ...
557986,7/31/2008,"$45,000.00 ",Quarter: NW/4 Section: 13 Township: 36 Range: 17 Subdiv...
