Transect ID,Location,Sage1 Difference,Sage2 Difference,Shrub Difference,PJ Difference,Sage1ToFromTotal,Sage1Cover%
86,Monogram Mesa BR08,7.933324178,,10.43334757,,2.379997253,7.933324178
87,Monogram Mesa BR08,9.433330297,,5.733326276,,2.829999089,9.433330297
88,Monogram Mesa BR08,6.533330282,,1.86665535,,1.959999084,6.533330282
89,Monogram Mesa BR08,9.666673144,,0.599999428,,2.900001943,9.666673144
90,Monogram Mesa BR08,7.800001701,,66.59998596,,2.34000051,7.800001701
91,Monogram Mesa BR08,22.39999195,,,,6.719997585,22.39999195
92,Monogram Mesa BR08,7.06666708,,11.50000075,,2.120000124,7.06666708
93,Monogram Mesa BR08,8.533337911,0.400002797,,,2.560001373,8.533337911
94,Monogram Mesa BR08,20.09998679,,-12.8999955,,6.029996037,20.09998679
95,Monogram Mesa BR08,3.333326976,,-4.066684047,,0.999998093,3.333326976
96,Monogram Mesa BR08,1.466671626,,8.066679637,,0.440001488,1.466671626
97,Monogram Mesa BR08,5.699982643,,1.53333505,,1.709994793,5.699982643
98,Monogram Mesa BR08,0.500005086,,9.266674419,,0.150001526,0.500005086
99,Monogram Mesa BR08,15.93332767,,4.300002505,,4.779998302,15.93332767
100,Monogram Mesa BR08,19.83333866,,2.433333397,,5.950001597,19.83333866
101,Monogram Mesa BR08,5.166656176,,8.333321214,,1.549996853,5.166656176
102,Monogram Mesa BR08,4.70000267,,9.366659323,,1.410000801,4.70000267
103,SIX SHOOTER FY09,17.63334016,,,,5.290002048,17.63334016
104,SIX SHOOTER FY09,17.26666828,,,,5.180000484,17.26666828
105,SIX SHOOTER FY09,12.33333876,,,,3.700001627,12.33333876
106,SIX SHOOTER FY09,10.59999545,,,,3.179998636,10.59999545
107,SIX SHOOTER FY09,14.79998112,,,,4.439994335,14.79998112
108,SIX SHOOTER FY09,15.89998722,,,,4.769996166,15.89998722
109,SIX SHOOTER FY09,22.49999523,,,,6.749998569,22.49999523
110,SIX SHOOTER FY09,12.30000575,,,,3.690001726,12.30000575
111,SIX SHOOTER FY09,22.83333619,,,,6.850000858,22.83333619
112,SIX SHOOTER FY09,20.86667498,,,,6.260002494,20.86667498
113,SIX SHOOTER FY09,16.4333264,,,,4.929997921,16.4333264
114,SIX SHOOTER FY09,21.43330733,,0.333336393,,6.429992199,21.43330733
115,SIX SHOOTER FY09,22.36666252,,,,6.709998757,22.36666252
116,SIX SHOOTER FY09,13.09999943,,,,3.929999828,13.09999943
117,SIX SHOOTER FY09,13.23331614,,,,3.969994843,13.23331614
118,SIX SHOOTER FY09,7.433344523,,5.09999752,,2.230003357,7.433344523
119,SIX SHOOTER FY09,21.76666896,,5.566675762,,6.530000687,21.76666896
120,SIX SHOOTER FY09,9.56666549,,,,2.869999647,9.56666549
121,SIX SHOOTER FY09,10.36666016,,,,3.109998047,10.36666016
122,SIX SHOOTER FY09,10.43334087,,,,3.13000226,10.43334087
123,SIX SHOOTER FY09,5.266669591,1.699998925,2.200005849,,1.580000877,5.266669591
124,SIX SHOOTER FY09,6.599997481,4.633334478,,,1.979999244,6.599997481
125,SIX SHOOTER FY09,3.700011571,5.633332729,,,1.110003471,3.700011571
126,SIX SHOOTER FY09,2.566672961,,,,0.770001888,2.566672961
127,SIX SHOOTER FY09,8.666646481,,,,2.599993944,8.666646481
128,SIX SHOOTER FY09,14.40000614,,,,4.320001841,14.40000614
129,SIX SHOOTER FY09,6.433321635,,0.133336385,,1.92999649,6.433321635
130,SIX SHOOTER FY09,22.56665746,,,,6.769997239,22.56665746
131,SIX SHOOTER FY09,14.33333039,,,,4.299999118,14.33333039
132,SIX SHOOTER FY09,4.066663583,,14.83333588,,1.219999075,4.066663583
133,SIX SHOOTER FY09,12.40000566,,,,3.720001698,12.40000566
134,SIX SHOOTER FY09,11.59999768,,,,3.479999304,11.59999768
135,SIX SHOOTER FY09,2.299992243,,4.266668955,,0.689997673,2.299992243
136,SIX SHOOTER FY09,5.366662145,12.2333463,0.066668193,,1.609998643,5.366662145
